term_id,arabic_script,english_gloss,category,subcategory,token_type,canonical_arabizi,v8_safe_unique_variants_pipe,v8_context_only_variants_pipe,v8_all_operational_variants_pipe,v8_safe_unique_count,v8_context_only_count,v8_reliability_score,v8_trust_class,v8_operational_use,v8_direct_match_allowed_now,v8_normalization_allowed_now,v8_oov_suppression_allowed_now,v8_routing_allowed_now,v8_severity_allowed_now,v8_required_positive_context_pipe,v8_blocking_negative_context_pipe,v8_min_evidence_examples_before_promotion,v8_required_reviewer_count,v8_required_gates_pipe,v8_merge_target,v8_oov_action,v8_eval_required,v8_eval_bucket,source_basis,source_urls,review_status,reviewer_id,second_reviewer_required,must_not_auto_promote,lineage,v8_policy_note,created_at_utc
ARZ-V8-00001,غ,gh,internet_notation,ghayn,notation_rule,gh,,gh,gh,0,1,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00002,خ,5,internet_notation,kha,notation_rule,5,,kh,kh,0,1,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00003,ا / long a,a/e/a vowel,internet_notation,letter_or_prefix_rule,notation_rule,a,,aa,aa,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00004,ة,a/e/eh ending,internet_notation,letter_or_prefix_rule,notation_rule,e,,eh|ah,eh|ah,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00005,ي / long i,i/ee/y vowel,internet_notation,letter_or_prefix_rule,notation_rule,i,,ee|ii|ei,ee|ii|ei,0,3,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00006,و / long o/u,o/u/w/ou vowel,internet_notation,letter_or_prefix_rule,notation_rule,ou,,ou|w|oo,ou|w|oo,0,3,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00007,ث,th/s/t,internet_notation,letter_or_prefix_rule,notation_rule,s,,th,th,0,1,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00008,ذ,z/dh/d,internet_notation,letter_or_prefix_rule,notation_rule,z,,dh,dh,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00009,ظ,z/dh/6',internet_notation,letter_or_prefix_rule,notation_rule,z,,dh,dh,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00010,long vowel,aa,internet_notation,long a / omitted 3 fallback,notation_rule,aa,,aa,aa,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00011,long vowel,ee,internet_notation,long e/i,notation_rule,ee,,ee|ii,ee|ii,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00012,long vowel,ou,internet_notation,long o/u,notation_rule,ou,,ou|oo,ou|oo,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00013,ب,in/with prefix,internet_notation,prefix_rule,notation_rule,b,,b|bi,b|bi,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00014,ال,definite article,internet_notation,prefix_rule,notation_rule,l,,l|el|al|il,l|el|al|il,0,4,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V8-00015,ل,to/for prefix,internet_notation,prefix_rule,notation_rule,l,,l|la,l|la,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
