resolution_id,municipality_id,municipality_key,municipality_name_en,municipality_name_ar,district,governorate,cd_center_id,cd_center_name_ar,cd_center_name_en,cd_governorate,hotline,phone,resolution_basis,confidence,source_ids,verification_status,retrieved_date,notes
CDR-63052,63052,حوبش,حوبش,حوبش,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-54435,54435,ad_daghlah,Ad Daghlah,الدغلة,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-53868,53868,aidmoon_shekhlar,Aidmoon-Shekhlar,عيدمون-شيخلار,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-54111,54111,ain_yaaqub,Ain Yaaqub,عين يعقوب,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-54057,54057,ain_al_dhahab,Ain al-Dhahab,عين الذهب,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-54084,54084,ain_al_zayt,Ain al-Zayt,عين الزيت,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-53841,53841,akkar_el_atiqa,Akkar el-Atiqa,عكار العتيقة,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-54381,54381,akroum,Akroum,اكروم,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-54471,54471,al_aamair_w_rajm_issa,Al Aamair w Rajm Issa,العماير ورجم عيسى,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
CDR-53832,53832,al_aboudiyeh,Al Aboudiyeh,العبودية,Aakkar,Aakkar,CD-AKK-01,مركز الدفاع المدني - عكار,CD Center — Aakkar,Aakkar,125,+961-6-696126,district_cd_center_assignment,high,SRC-CIVILDEF-UNDP-2026;SRC-CIVILDEF-CENTERS,rule_based,2026-05-31,Halba is the main center.
