﻿variant_id,candidate_id,source_row_number,variant,normalized_variant,variant_tier,match_weight_candidate,sector,issue_type,category,normalization,contains_marker,review_status,ambiguity_class,use_for_fuzzy_matching_now,use_for_oov_suppression_now,use_for_routing_prediction_now,must_not_auto_promote,reason_blocked_or_pending,v2_trust_status,v2_review_priority,v2_safe_for_core_review,v2_safe_for_variant_lookup_after_review,v2_safe_for_fuzzy_now,v2_safe_for_oov_suppression_now,v2_safe_for_routing_now,v2_requires_second_reviewer,v2_reason,v2_created_at_utc
BFL-CAND-0001-V01,BFL-CAND-0001,1,7ofra,7ofra,A,0.90,ROADS,POTHOLE,noun_infra,حفرة,TRUE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0001-V02,BFL-CAND-0001,1,7afra,7afra,A,0.90,ROADS,POTHOLE,noun_infra,حفرة,TRUE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0001-V03,BFL-CAND-0001,1,hofra,hofra,B,0.70,ROADS,POTHOLE,noun_infra,حفرة,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0001-V04,BFL-CAND-0001,1,7ofrit,7ofrit,B,0.70,ROADS,POTHOLE,noun_infra,حفرة,TRUE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0001-V05,BFL-CAND-0001,1,7afrit,7afrit,C,0.40,ROADS,POTHOLE,noun_infra,حفرة,TRUE,PENDING_NATIVE_REVIEW,SAME_SECTOR_MULTI_ISSUE,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review; cross-row ambiguity detected,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,2026-05-20T12:58:34Z
BFL-CAND-0001-V06,BFL-CAND-0001,1,hufra,hufra,C,0.40,ROADS,POTHOLE,noun_infra,حفرة,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,"Reject or stress-test only. Existing project rule says use 7ofra/7afra; hofra may be fallback, hufra is wrong-character noise.",QUARANTINED_REWRITE_REQUIRED,P0_REWRITE_OR_REJECT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,REJECT_NOISY_WRONG_MARKER: keep 7ofra/7afra as core and hofra only as fallback.,2026-05-20T12:58:34Z
BFL-CAND-0002-V01,BFL-CAND-0002,2,jora,jora,A,0.90,ROADS,POTHOLE,noun_infra,جورة,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0002-V02,BFL-CAND-0002,2,joura,joura,A,0.90,ROADS,POTHOLE,noun_infra,جورة,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0002-V03,BFL-CAND-0002,2,joora,joora,B,0.70,ROADS,POTHOLE,noun_infra,جورة,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0002-V04,BFL-CAND-0002,2,jorit,jorit,B,0.70,ROADS,POTHOLE,noun_infra,جورة,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0002-V05,BFL-CAND-0002,2,joret,joret,C,0.40,ROADS,POTHOLE,noun_infra,جورة,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,2026-05-20T12:58:34Z
BFL-CAND-0002-V06,BFL-CAND-0002,2,jwara,jwara,C,0.40,ROADS,POTHOLE,noun_infra,جورة,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,2026-05-20T12:58:34Z
