global_row,source_file,line_number,uuid,split,style_type,audit_status,flag_count,flags,current_label,current_sector,current_issue,metadata_label,suggested_label,suggested_sector,suggested_issue,top_sector,top_sector_score,top_issue,top_issue_score,needs_human_review,confidence,is_municipal_complaint,source_arabizi,assistant_json,evidence_terms,matched_terms,notes
24,cidarfix_v29_batch8_train_v14_enriched.jsonl,24,2faaef0f-3e27-4109-a084-dc9569c4c88c,train,real_world,BLOCK,2,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA,WASTE/insufficient_info,WASTE,insufficient_info,WASTE/insufficient_info,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,,0,,0,True,low,True,emmak mwahhame 3a shlekke msh 3a nabi kenet raytak khle2t kalb j3ere ya 3ars,"{""confidence"": ""low"", ""evidence_terms"": [""kalb""], ""is_municipal_complaint"": true, ""issue_type"": ""insufficient_info"", ""issues"": [{""issue_type"": ""insufficient_info"", ""label"": ""WASTE/insufficient_info"", ""sector"": ""WASTE""}], ""label"": ""WASTE/insufficient_info"", ""needs_human_review"": true, ""sector"": ""WASTE""}","[""kalb""]",,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal"
56,cidarfix_v29_batch8_train_v14_enriched.jsonl,56,6a6e1d03-dc9f-4857-ba92-7cc607a10126,train,real_world_hard_negative,BLOCK,3,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA|THREAT_OR_VIOLENT_LANGUAGE,OTHER/insufficient_info,OTHER,insufficient_info,OTHER/insufficient_info,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,,0,,0,True,low,False,law kanit teyara la israel ma kano darabowa kis ekhton charamit jayesh abo cha7ata allah ma3 jayshna l batal yali rah yd3as 3a raso la bahar l kalb,"{""confidence"": ""low"", ""evidence_terms"": [""kalb""], ""is_municipal_complaint"": false, ""issue_type"": ""insufficient_info"", ""issues"": [{""issue_type"": ""insufficient_info"", ""label"": ""OTHER/insufficient_info"", ""sector"": ""OTHER""}], ""label"": ""OTHER/insufficient_info"", ""needs_human_review"": true, ""sector"": ""OTHER""}","[""kalb""]",,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal; violent or threatening language present — manual safety review"
62,cidarfix_v29_batch8_train_v14_enriched.jsonl,62,d8ed1360-0142-4bdd-835a-384d78e026cd,train,real_world_hard_negative,BLOCK,3,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA|THREAT_OR_VIOLENT_LANGUAGE,OTHER/insufficient_info,OTHER,insufficient_info,OTHER/insufficient_info,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,,0,,0,True,low,False,lazem y3dmok ent wele metlk ya kalb,"{""confidence"": ""low"", ""evidence_terms"": [""kalb""], ""is_municipal_complaint"": false, ""issue_type"": ""insufficient_info"", ""issues"": [{""issue_type"": ""insufficient_info"", ""label"": ""OTHER/insufficient_info"", ""sector"": ""OTHER""}], ""label"": ""OTHER/insufficient_info"", ""needs_human_review"": true, ""sector"": ""OTHER""}","[""kalb""]",,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal; violent or threatening language present — manual safety review"
64,cidarfix_v29_batch8_train_v14_enriched.jsonl,64,a5b7f567-436a-45ec-b0fb-517956a8fe32,train,real_world,BLOCK,2,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA,WASTE/insufficient_info,WASTE,insufficient_info,WASTE/insufficient_info,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,SAFETY,6,SAFETY/street_dog_attack_risk,6,True,low,True,yeli 3am te2tlo wtoulo enkon eslem ento kezebin 3azize de3ech gech lebneni 3ala ra2betkon de3ch wnkeyi fikon eslem wmas7iye wchi3a id we7de 8aseb 3ankon ya kleb,"{""confidence"": ""low"", ""evidence_terms"": [""kleb""], ""is_municipal_complaint"": true, ""issue_type"": ""insufficient_info"", ""issues"": [{""issue_type"": ""insufficient_info"", ""label"": ""WASTE/insufficient_info"", ""sector"": ""WASTE""}], ""label"": ""WASTE/insufficient_info"", ""needs_human_review"": true, ""sector"": ""WASTE""}","[""kleb""]",kleb,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal"
94,cidarfix_v29_batch8_train_v14_enriched.jsonl,94,dcbe74e5-295b-3a08-7ba3-89a123327af6,train,hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,ya zalame baddna n3ref meen l mas2oul bas 3am es2al ya3ne ktir 3anjad,"{""confidence"": ""low"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
171,cidarfix_v29_batch8_train_v14_enriched.jsonl,171,00f87a7e-a92a-43e1-bda5-96dc92a26d22,train,real_world,BLOCK,2,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA,WASTE/insufficient_info,WASTE,insufficient_info,WASTE/insufficient_info,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,SAFETY,6,SAFETY/street_dog_attack_risk,6,True,low,True,yalla 2 falasteneye w 1 soori lanshoof el rabe3 meen ya kleb ela jahannam wabe2sa lmasir,"{""confidence"": ""low"", ""evidence_terms"": [""kleb""], ""is_municipal_complaint"": true, ""issue_type"": ""insufficient_info"", ""issues"": [{""issue_type"": ""insufficient_info"", ""label"": ""WASTE/insufficient_info"", ""sector"": ""WASTE""}], ""label"": ""WASTE/insufficient_info"", ""needs_human_review"": true, ""sector"": ""WASTE""}","[""kleb""]",kleb,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal"
178,cidarfix_v29_batch8_train_v14_enriched.jsonl,178,f9a3b3b4-9baa-419f-b7bc-3dbbb94ac225,train,real_world_hard_negative,BLOCK,2,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,,0,,0,False,medium,False,ente meen 2ereeek ya kalb,"{""confidence"": ""medium"", ""evidence_terms"": [""kalb""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kalb""]",,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal"
202,cidarfix_v29_batch8_train_v14_enriched.jsonl,202,f7b163f3-87db-4d51-9124-498ef603c004,train,real_world_hard_negative,BLOCK,3,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA|THREAT_OR_VIOLENT_LANGUAGE,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,,0,,0,False,medium,False,allah ye7re2 3aynak ya kalb,"{""confidence"": ""medium"", ""evidence_terms"": [""kalb""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kalb""]",,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal; violent or threatening language present — manual safety review"
216,cidarfix_v29_batch8_train_v14_enriched.jsonl,216,7eb61588-c525-4269-93ea-2ffa432d6106,train,real_world_hard_negative,BLOCK,2,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,,0,,0,False,high,False,ayri bda2nou wda2n li khallafou khanzir ebn khanzir,"{""confidence"": ""high"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal"
222,cidarfix_v29_batch8_train_v14_enriched.jsonl,222,bbb29841-8328-4b08-a19e-000e5c737b29,train,real_world,BLOCK,2,PROFANITY_IN_COMPLAINT|ABUSIVE_LANGUAGE_NO_INFRA,WASTE/insufficient_info,WASTE,insufficient_info,WASTE/insufficient_info,OTHER/abusive_or_profane_language,OTHER,abusive_or_profane_language,SAFETY,6,SAFETY/street_dog_attack_risk,6,True,low,True,tfou 3a charafkon ya kleb 3am tetmarjalo 3a kamm chabb w benet tfehhhh,"{""confidence"": ""low"", ""evidence_terms"": [""kleb""], ""is_municipal_complaint"": true, ""issue_type"": ""insufficient_info"", ""issues"": [{""issue_type"": ""insufficient_info"", ""label"": ""WASTE/insufficient_info"", ""sector"": ""WASTE""}], ""label"": ""WASTE/insufficient_info"", ""needs_human_review"": true, ""sector"": ""WASTE""}","[""kleb""]",kleb,"bad/offensive language present — treat as tone/noise, not routing evidence; abusive/profane row has no strong actionable infrastructure signal"
