boundary_id,entity_id,not_responsible_for,route_instead_to,condition,source_ids,confidence,notes
WNR-BMLWE-001,BMLWE,private_building_plumbing_or_rooftop_tank,PRIVATE_PROPERTY_OR_BUILDING_MANAGEMENT,No public meter public pipe public source or neighborhood-wide evidence.,SRC-BMLWE-ABOUT;SRC-BMLWE-FAQ,medium_high,BMLWE mandate covers public water and wastewater services; private internal systems are not WE dispatch.
WNR-BMLWE-002,BMLWE,local_rainwater_storm_drain_or_road_drainage,MUN_OR_MPWT_BY_ROAD_CLASS,Complaint is rainwater/stormwater without sewer or public water network evidence.,SRC-BMLWE-ABOUT;SRC-MPWT-ROADS-BUILDINGS,medium,Use WE only if sewer/wastewater or public water pipe evidence exists.
WNR-BMLWE-003,BMLWE,electricity_fault_powering_pumps,EDL_OR_EDZ_CONTEXT_ONLY,Complaint is solely grid electricity; public water outage remains BMLWE if citizen lacks water.,SRC-MEW-NWSS-2024-2035;SRC-UNICEF-WASH-PROGRAMME,medium,Power can explain outage but does not replace WE as citizen-facing water route.
WNR-NLWE-001,NLWE,private_plumbing_private_well_or_tanker_vendor_dispute,PRIVATE_PROPERTY_OR_VENDOR_OR_HITL,Complaint concerns private source/vendor rather than public NLWE network.,SRC-NLWE-ABOUT;SRC-LORIENT-TRIPOLI-CHOLERA-2022,medium_high,Tripoli cholera/private well case is a real boundary example.
WNR-NLWE-002,NLWE,local_storm_drain_or_road_flooding,MUN_OR_MPWT_BY_ROAD_CLASS,No evidence of sewerage/wastewater network ownership.,SRC-NLWE-ABOUT,medium,Drainage/sanitation expansion context does not make every road-flood complaint NLWE.
WNR-SLWE-001,SLWE,Litani_Qasimiya_RasAlAin_irrigation_assets,LRA_OR_HITL,Complaint references LRA project canal collective irrigation or Qasimiya/Ras Al Ain context.,SRC-SLWE-ABOUT;SRC-LRA-ORGANIGRAM;SRC-LRA-BASIN;SRC-LRA-CONTACT,high,SLWE overview explicitly notes irrigation exception assigned to LRA.
WNR-SLWE-002,SLWE,private_plumbing_or_building_tank,PRIVATE_PROPERTY_OR_BUILDING_MANAGEMENT,No public network or district-wide evidence.,SRC-SLWE-ABOUT;SRC-SLWE-CUSTOMER-SERVICE,medium_high,SLWE fault hotline is for public/customer service follow-up not private internal fixtures.
WNR-BWE-001,BWE,private_plumbing_private_tank_or_private_pump,PRIVATE_PROPERTY_OR_BUILDING_MANAGEMENT,Complaint is isolated to internal building systems.,SRC-BWE-ABOUT;SRC-BWE-CUSTOMER-SERVICE,medium_high,BWE offices handle public service repair/maintenance but not private internal plumbing.
WNR-BWE-002,BWE,Litani_or_collective_irrigation_asset,LRA_OR_HITL,Complaint references Litani basin collective canal or LRA-owned asset.,SRC-BWE-ABOUT;SRC-LRA-BASIN;SRC-LRA-GEOMAP,medium_high,BWE mandate includes irrigation but LRA assets override ordinary BWE routing.
WNR-BWE-003,BWE,private_well_license_or_groundwater_permit,MEW,Complaint asks about well license tracking or regulatory permit status.,SRC-MEW-WELL-LICENSE-TRACKING;SRC-MEW-DG-WATER-ELECTRICITY,high,MEW has official groundwater well-license tracking workflow.
WNR-LRA-001,LRA,ordinary_household_tap_outage_or_bill_issue,WATER_ESTABLISHMENT_BY_LOCATION,Complaint is ordinary public household supply with no LRA asset or basin evidence.,SRC-LRA-ORGANIGRAM;SRC-LRA-BASIN;SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-ABOUT;SRC-SLWE-ABOUT,high,LRA is boundary authority for Litani/irrigation/basin assets; not default household water utility.
WNR-MEW-001,MEW,first_line_field_repair_or_outage_dispatch,WATER_ESTABLISHMENT_BY_LOCATION,Ordinary outage leak dirty water billing or service request has a regional WE owner.,SRC-MEW-DGI;SRC-MEW-CONTACT;SRC-MEW-CLAIMS,high,MEW is policy/oversight escalation and claims channel; not ordinary dispatch.
