"pair_id","report_id_a","report_id_b","pair_label","cluster_id","rationale"
"PAIR-B001-0001","RPT-B001-001","RPT-B001-002","DUPLICATE","CLU-B001-001","Same physical incident cluster core reports"
"PAIR-B001-0002","RPT-B001-001","RPT-B001-003","DUPLICATE","CLU-B001-001","Same physical incident cluster core reports"
"PAIR-B001-0003","RPT-B001-001","RPT-B001-004","DUPLICATE","CLU-B001-001","Same physical incident cluster core reports"
"PAIR-B001-0004","RPT-B001-002","RPT-B001-003","DUPLICATE","CLU-B001-001","Same physical incident cluster core reports"
"PAIR-B001-0005","RPT-B001-002","RPT-B001-004","DUPLICATE","CLU-B001-001","Same physical incident cluster core reports"
"PAIR-B001-0006","RPT-B001-003","RPT-B001-004","DUPLICATE","CLU-B001-001","Same physical incident cluster core reports"
"PAIR-B001-0007","RPT-B001-005","RPT-B001-006","DUPLICATE","CLU-B001-002","Same physical incident cluster core reports"
"PAIR-B001-0008","RPT-B001-005","RPT-B001-007","DUPLICATE","CLU-B001-002","Same physical incident cluster core reports"
"PAIR-B001-0009","RPT-B001-006","RPT-B001-007","DUPLICATE","CLU-B001-002","Same physical incident cluster core reports"
"PAIR-B001-0010","RPT-B001-005","RPT-B001-008","RELATED","CLU-B001-002","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0011","RPT-B001-006","RPT-B001-008","RELATED","CLU-B001-002","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0012","RPT-B001-007","RPT-B001-008","RELATED","CLU-B001-002","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0013","RPT-B001-009","RPT-B001-010","DUPLICATE","CLU-B001-003","Same physical incident cluster core reports"
"PAIR-B001-0014","RPT-B001-009","RPT-B001-011","DUPLICATE","CLU-B001-003","Same physical incident cluster core reports"
"PAIR-B001-0015","RPT-B001-010","RPT-B001-011","DUPLICATE","CLU-B001-003","Same physical incident cluster core reports"
"PAIR-B001-0016","RPT-B001-009","RPT-B001-012","HARD_NEGATIVE","CLU-B001-003","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0017","RPT-B001-010","RPT-B001-012","HARD_NEGATIVE","CLU-B001-003","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0018","RPT-B001-011","RPT-B001-012","HARD_NEGATIVE","CLU-B001-003","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0019","RPT-B001-013","RPT-B001-014","DUPLICATE","CLU-B001-004","Same physical incident cluster core reports"
"PAIR-B001-0020","RPT-B001-013","RPT-B001-015","DUPLICATE","CLU-B001-004","Same physical incident cluster core reports"
"PAIR-B001-0021","RPT-B001-013","RPT-B001-016","DUPLICATE","CLU-B001-004","Same physical incident cluster core reports"
"PAIR-B001-0022","RPT-B001-014","RPT-B001-015","DUPLICATE","CLU-B001-004","Same physical incident cluster core reports"
"PAIR-B001-0023","RPT-B001-014","RPT-B001-016","DUPLICATE","CLU-B001-004","Same physical incident cluster core reports"
