source_id,title,publisher,source_type,url,reliability_tier,primary_use,notes,scheme_note
SRC-BMLWE-ABOUT,BMLWE About Us,Beirut and Mount Lebanon Water Establishment,official_portal,https://ebml.gov.lb/about.php?lang=en,T0_official,BMLWE mission and potable/wastewater water-quality monitoring context.,Use for Beirut/Mount Lebanon water routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-ABOUT,Bekaa Water Establishment About,Bekaa Water Establishment,official_portal,https://bwe.gov.lb/en/about/,T0_official,"BWE entrusted with water sector in Bekaa/Baalbek-Hermel: drinking, irrigation, wastewater collection/treatment.",Use for Bekaa/Baalbek-Hermel water routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-HOME,Bekaa Water Establishment Home,Bekaa Water Establishment,official_portal,https://bwe.gov.lb/en/home/,T0_official,BWE e-services/customer services and subscriber context.,Use for workflow/channel evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-OMT,North Lebanon Water Establishment OMT governmental service,OMT,governmental_service_partner,https://www.omt.com.lb/en/services/governmental/north-lebanon-water-establishment-nlwe,T1_partner,NLWE subscribers to drinking water and sewage services in North Lebanon; payment/service evidence.,Need official NLWE page for higher confidence if available.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-HOME,North Lebanon Water Establishment Home,North Lebanon Water Establishment,official_portal,https://eeln.gov.lb/en/home/,T0_official,NLWE public portal and customer-service context.,Use to verify channels and working hours.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-HOME,South Lebanon Water Establishment Home,South Lebanon Water Establishment,official_portal,https://www.slwe.gov.lb/,T0_official,South Lebanon Water Establishment public portal; water tanks/quality and contact navigation.,Use for South/Nabatieh water routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-OMT,South Lebanon Water Establishment OMT governmental service,OMT,governmental_service_partner,https://www.omt.com.lb/en/services/governmental/south-lebanon-water-establishment,T1_partner,Subscribers to drinking water and sewage services in South and Nabatieh governorates.,Useful service-area evidence; official SLWE page still preferred.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-CONTACT,EBML Contact Us,Beirut and Mount Lebanon Water Establishment,official_contact,https://ebml.gov.lb/contactus.php?lang=en,T0_official,BMLWE hotline email office phone and district office list.,Use for Beirut and Mount Lebanon water contact routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-CONTACT,Bekaa Water Establishment Contact Us,Bekaa Water Establishment,official_contact,https://bwe.gov.lb/en/contact/,T0_official,BWE main office email phone branch phones and contact form.,Use for Bekaa water contact routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-FAQ,EBML FAQ,Beirut and Mount Lebanon Water Establishment,official_customer_service,https://ebml.gov.lb/faq.php?lang=en,T0_official,EBML fault and leak reporting through ticketing system website/app or hotline 1713.,Use for BMLWE complaint channels and required handling notes.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-FORMS,EBML forms and required documents,Beirut and Mount Lebanon Water Establishment,official_forms,https://ebml.gov.lb/forms.php?lang=en,T0_official,EBML subscription meter transfer and service-request form/document list.,Use for BMLWE service request evidence requirements.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-TICKET,EBML online ticketing system,Beirut and Mount Lebanon Water Establishment,official_complaint_channel,https://ebml.gov.lb/user_ticket.php?lang=en,T0_official,EBML ticketing endpoint referenced from official navigation and FAQ.,Use for BMLWE online complaint channel; page may require browser/session rendering.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-ABOUT,North Lebanon Water Establishment about,North Lebanon Water Establishment,official_portal,https://eeln.gov.lb/en/about/,T0_official,NLWE legal basis service mission production figures and water/sanitation expansion mission.,Use for NLWE mandate and North/Akkar routing context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-CONTACT,North Lebanon Water Establishment contact,North Lebanon Water Establishment,official_contact,https://eeln.gov.lb/en/contact/,T0_official,NLWE main office email phone contact form working hours and district branch numbers.,Use for NLWE contact and walk-in/branch routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-CUSTOMER-SERVICE,North Lebanon Water Establishment customer service,North Lebanon Water Establishment,official_complaint_process,https://eeln.gov.lb/en/customer-services/,T0_official,NLWE customer-service page states complaints are received and asks for subscriber name subscription number problem and address; complaint phone 1712.,Use for NLWE complaint process and evidence fields.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-SERVICE-REQUESTS,North Lebanon Water Establishment service requests and forms,North Lebanon Water Establishment,official_forms,https://eeln.gov.lb/en/customer-services1/,T0_official,NLWE service-request page gives phone 06/430075 office visit process and required documents for subscriptions and changes.,Use for NLWE non-complaint service workflow requirements.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-ESERVICES,North Lebanon Water Establishment electronic services,North Lebanon Water Establishment,official_eservices,https://eservices.eeln.gov.lb/Home1?language=en-US,T0_official,NLWE e-services include bill inquiry and bill payment.,Use for NLWE online channel taxonomy.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-ABOUT,South Lebanon Water Establishment overview,South Lebanon Water Establishment,official_portal,https://www.slwe.gov.lb/details.php?id=4&key=153900&lang=ar,T0_official,SLWE legal creation center in Saida and duties for drinking water projects wastewater collection/treatment tariffs and quality monitoring; notes LRA irrigation exception.,Use for SLWE mandate center location and irrigation boundary conditions.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-LEGAL,South Lebanon Water Establishment laws and regulations,South Lebanon Water Establishment,official_legal,https://www.slwe.gov.lb/details.php?id=3&key=%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A&lang=ar,T0_official,SLWE lists applicable staffing investment internal organization and financial decrees.,Use for SLWE legal context and confidence notes.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-CONTACT,South Lebanon Water Establishment contact,South Lebanon Water Establishment,official_contact,https://www.slwe.gov.lb/contact.php?lang=ar,T0_official,SLWE hotline 1785 and district distribution office numbers for Saida Zahrani Jezzine Nabatieh Bint Jbeil Marjayoun-Hasbaya and Tyre.,Use for SLWE contact routing and district phone lookup.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-CUSTOMER-SERVICE,South Lebanon Water Establishment customer service,South Lebanon Water Establishment,official_complaint_process,https://www.slwe.gov.lb/details.php?id=8&key=%D9%85%D9%82%D8%AF%D9%85%D8%A9&lang=ar,T0_official,SLWE customer-service center studies customer requests and says faults or problems should be reported immediately via hotline 1785.,Use for SLWE complaint process and hotline policy.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-BILLING,South Lebanon Water Establishment bill inquiry,South Lebanon Water Establishment,official_eservices,https://www.slwe.gov.lb/details.php?id=9&key=%D8%A7%D8%B3%D8%AA%D9%81%D8%B3%D8%A7%D8%B1-%D8%B9%D9%86-%D9%81%D8%A7%D8%AA%D9%88%D8%B1%D8%A9&lang=ar,T0_official,SLWE bill inquiry page links subscribers to water bills.,Use for SLWE online billing channel.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-CUSTOMER-SERVICE,Bekaa Water Establishment customer services,Bekaa Water Establishment,official_customer_service,https://bwe.gov.lb/en/customer-services/,T0_official,BWE customer-service page says invoice inquiries use 1781 and offices handle new subscription water testing repair or maintenance requests.,Use for BWE complaint/service channel taxonomy.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-FAQ,Bekaa Water Establishment FAQ,Bekaa Water Establishment,official_faq,https://bwe.gov.lb/en/customer-services1/,T0_official,BWE FAQ lists subscription types cut-off cases district contacts and water-quality monitoring.,Use for BWE service boundaries and outage explanations.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-WATER-QUALITY,Bekaa Water Establishment water quality,Bekaa Water Establishment,official_water_quality,https://bwe.gov.lb/en/waterquality/,T0_official,BWE water-quality page states wells springs laboratories distribution assets and treatment/chlorination context.,Use for BWE dirty-water and quality-monitoring routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
