contact_id,entity_id,contact_name,channel_type,endpoint,address,hours,source_ids,confidence,notes
TEL-CP-OGERO-1515,OGERO,Ogero customer care hotline,phone,1515,national,not_published,SRC-OGERO-CONTACT;SRC-OGERO-FAQ,high,Use for fixed-line landline DSL VDSL fiber and Ogero infrastructure faults.
TEL-CP-OGERO-MAIN,OGERO,Ogero main office phone,phone,+961-1-840000,Beirut Bir Hasan Ziad Rahbani Avenue,office_hours_not_published,SRC-OGERO-CONTACT,high,General Ogero office/contact point.
TEL-CP-OGERO-FORM,OGERO,Ogero contact form,online,https://ogero.gov.lb/contact.php,Beirut Bir Hasan Ziad Rahbani Avenue,not_published,SRC-OGERO-CONTACT,high,Use as fixed telecom intake/follow-up channel when available.
TEL-CP-TRA-1739,TRA,TRA Consumer Protection Directorate hotline,phone,1739,national,not_published,SRC-TRA-COMPLAINT;SRC-TRA-CONSUMER-COMPLAINTS;SRC-TRA-MANDATE,high,Use for telecom consumer escalation after provider failure or for regulatory complaints.
TEL-CP-TRA-FORM,TRA,TRA online complaint page,online,https://www.tra.gov.lb/Protecting-your-rights-Resolving-your-complaints,TRA Beirut,not_published,SRC-TRA-COMPLAINT;SRC-TRA-CONSUMER-COMPLAINTS,high,Use for complaint escalation not first-line fixed technical faults.
TEL-CP-MUN-PUBLIC-SPACE,MUN,Municipality public-space obstruction handoff,dynamic,see_municipality_official_channels.csv,varies_by_municipality,varies_by_municipality,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,Use only as secondary handoff when telecom cable/cabinet creates a public-space obstruction.
TEL-CP-ALFA-111,MOBILE_OPERATOR,Alfa customer care short code,phone,111,national,not_published,SRC-ALFA-SUPPORT-FAQ,high,Use when the complaint names Alfa mobile service. Keep Ogero out of cellular complaints.
TEL-CP-ALFA-03391111,MOBILE_OPERATOR,Alfa customer care phone,phone,+961-3-391111,national,not_published,SRC-ALFA-SUPPORT-FAQ,high,Use when the complaint names Alfa and a regular phone number is needed.
TEL-CP-ALFA-SUPPORT-REFERENCE,MOBILE_OPERATOR,Alfa online support reference,online_reference,https://www.alfa.com.lb/en/support/faq,national,not_published,SRC-ALFA-SUPPORT-FAQ,medium_high,Official target lists live chat email social channels and stores but exact endpoints are not normalized here.
TEL-CP-TOUCH-111,MOBILE_OPERATOR,Touch customer care short code,phone,111,national,not_published,SRC-TOUCH-CONTACT-FORM,high,Use when the complaint names Touch mobile service. Keep Ogero out of cellular complaints.
TEL-CP-TOUCH-03800111,MOBILE_OPERATOR,Touch customer care phone,phone,+961-3-800111,national,not_published,SRC-TOUCH-CONTACT-FORM,high,Use when the complaint names Touch and a regular phone number is needed.
TEL-CP-TOUCH-FORM,MOBILE_OPERATOR,Touch contact form,online,https://www.touch.com.lb/autoforms/portal/touch/support/contact-us,national,not_published,SRC-TOUCH-CONTACT-FORM,high,Official Touch contact path for mobile customer support and claims.
