﻿addition_id,arabic_script,english,sector,issue_type,category,normalization,variants,suggested_tiers,impact_level,v2_review_priority,why_add,v2_allowed_uses,v2_blocked_uses,review_status,reviewer_id,second_reviewer_required,decision,must_not_auto_promote
ADD-BFL-0001,تكرار المشكلة,repeat / recurring issue,ALL_SUPPORT,ALL_SUPPORT,complaint_phrase,تكرار المشكلة,nafs l mashkle|rje3et l mashkle|kell marra nafs l shi|mashkle betetkarrar,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Critical for duplicate clustering and recurring-issue detection.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0002,تقرير سابق,previous report / already reported,ALL_SUPPORT,ALL_SUPPORT,complaint_phrase,تقرير سابق,balla3na abel|3melna shikwe abel|ta2rir abel|already reported,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Helps link repeat complaints and avoid treating duplicates as new incidents.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0003,صورة مرفقة,photo attached,ALL_SUPPORT,ALL_SUPPORT,complaint_phrase,صورة مرفقة,fi soura|sawwart l mashkle|soura mawjoude|photo attached,A/A/B/B,HIGH,P2_REVIEW,Supports multimodal/image consistency field and evidence awareness.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0004,فيديو مرفق,video attached,ALL_SUPPORT,ALL_SUPPORT,complaint_phrase,فيديو مرفق,fi video|ba3atet video|video mawjoude|sawwart video,A/A/B/B,HIGH,P2_REVIEW,Important for demo realism and evidence workflows.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0005,موقع دقيق,exact location / pin,ALL_SUPPORT,ALL_SUPPORT,noun_location,موقع دقيق,location mab3out|ba3atet location|pin location|maw2a3 3al map,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Location/pin phrases improve geocoding and routing reliability.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0006,قرب مدرسة,near a school,ALL_SUPPORT,ALL_SUPPORT,complaint_phrase,قرب مدرسة,7ad l madrase|jemb l madrase|2edem l madrase|near school,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Severity escalation signal for children exposure.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0007,قرب مستشفى,near a hospital,ALL_SUPPORT,ALL_SUPPORT,complaint_phrase,قرب مستشفى,7ad l mustashfa|jemb l mustashfa|2edem l mustashfa|near hospital,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Severity escalation / access-critical location.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0008,مدخل مبنى,building entrance,ALL_SUPPORT,ALL_SUPPORT,noun_location,مدخل مبنى,mad5al l bineye|edem mad5al l bineye|3a beb l bineye|building entrance,A/A/B/B,HIGH,P2_REVIEW,Critical for duplicate fusion and exact-location extraction.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0009,طابق / أرضي,floor / ground floor,ALL_SUPPORT,ALL_SUPPORT,noun_location,طابق / أرضي,tabe2|tabe2 ardi|2awwal tabe2|ta7t l bineye,A/A/B/B,HIGH,P2_REVIEW,Needed for building/flooding/seepage reports.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0010,واجهة مبنى,building facade,SAFETY,STRUCTURAL_COLLAPSE,noun_infra,واجهة مبنى,wejhet l bineye|wajhet l mabne|facade l bineye|7ajar men l wejhe,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Falling facade/stone is a high-risk urban safety gap.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
