"task_id","priority","data_family","target_dataset","current_gap","next_data_to_get","why_it_matters","source_candidates","acceptance_criteria","privacy_risk","owner_notes"
"NDA-001","P0","municipality_channels","knowledge_base/municipalities/municipality_official_channels.csv","102 channel rows cover only 11 municipality IDs while the registry has 1107 rows","Verify the top 200 townhall/contact candidates and promote only official or clearly municipality-owned channels","Turns location resolution into usable submission paths","SRC-DGLAC-MUNI-DIR; municipality_townhall_contact_candidates_2026-06-01.csv; official municipal websites/social pages","Each promoted row has source_id, source_url, verification_status, retrieved_date, channel_type, and notes on ticket/reference policy","medium","Do not scrape comments or private groups; official page metadata only unless the municipality publishes the process."
"NDA-002","P0","municipality_workflows","knowledge_base/municipalities/municipality_complaint_workflows.csv","30 workflow rows cover only 5 municipality IDs","Capture complaint form fields, intake path, ticket/reference behavior, and escalation notes for the first 100 high-priority municipalities","Lets IEP-8 give practical instructions instead of generic municipal advice","Existing official channel rows; DGLAC detail pages; official municipality forms","Workflow row includes accepted issue types, required fields, channel link, source_id, confidence, and what is not published","medium","Prefer official sites/forms; use social pages only when municipality-authored and clearly current."
"NDA-003","P0","municipal_unions","knowledge_base/municipalities/municipal_union_memberships.csv","Expanded to 841 row-level memberships across all 59 union IDs; 784 rows have registry IDs and 57 source-specific text rows still need reconciliation","Reconcile the 57 text-only membership rows and keep official union membership sources aligned with DGLAC-backed registry IDs","Many waste, road, drainage, and service contracts are union-level rather than single-municipality","DGLAC/MOIM directories; union official pages; municipality pages","Membership rows should include union_id, municipality_id or registry_id, evidence source, and verification status","low","2026-06-02: row-level expansion completed from municipality_unions.csv and official Fayhaa/Tyre rows; no individual officer phone numbers unless published as official union contact."
"NDA-004","P0","shared_services","knowledge_base/municipalities/municipal_union_service_responsibilities.csv","Seeded 6 responsibility-signal rows for union complaint/suggestion intake, DGLAC membership guardrail, and Baalbek water/electricity advocacy context; no comprehensive operator/service ownership yet","Expand source-backed union-level waste, road, drainage, lighting, public-space, contractor, and operator responsibilities beyond the seed intake/advocacy rows","Prevents over-routing local shared services to the wrong municipality or ministry","Union official pages; municipal decisions; contractor notices; MOIM/DGLAC records; official news only as context","Rows include union_id, service_family, role_type, member_scope, operator_or_entity, source_id, confidence, limitations, and routing_use","medium","2026-06-02: seed file created. Contractor names are fine when public; avoid storing staff names or private numbers."
"NDA-005","P0","roads_geospatial","knowledge_base/roads_public_works/road_class_ownership_index.csv","Seeded 12 guardrail/named-event rows, but no official classified-road geometry or complete national segment inventory yet","Acquire official classified/national road identifiers, MPWT responsibility evidence, CDR road-project boundaries, and local-road exclusion notes","Reduces HITL on potholes, bridges, sidewalks, highways, national-road complaints, and named MPWT/CDR worksites","SRC-MPWT-ROADS-BUILDINGS; CDR road project pages; reputable GIS/open road datasets; shard-local SRC-NNA-* evidence","Rows include road_name_or_ref, location_hint or geometry, owner_entity_id, road_class_or_asset_type, source_id, confidence, HITL flag, and limitations","low","2026-06-02: seed index created from existing NNA/source_targets evidence. Do not infer ownership from map labels alone; require source-backed class or keep HITL."
"NDA-006","P0","cdr_projects","knowledge_base/roads_public_works/cdr_project_service_areas.csv","Seeded 6 CDR guardrail/project rows, but no complete active CDR project inventory, package geometry, or contractor/status coverage yet","Collect active/recent CDR road, drainage, wastewater, reconstruction, and environmental project locations with contractor/status where public","Allows CDR routing only when a complaint is inside or names a verified project/worksite, while avoiding CDR over-routing for ordinary road defects","SRC-CDR-HOME; SRC-CDR-CONTACT; SRC-CDR-ROADS-EMPLOYMENT-GRM; SRC-CDR-ROAD-ESMP-T807; SRC-CDR-LAKE-QARAOUN-GRM; CDR project detail pages; CDR GRM pages in source_targets.csv","Rows include project_area_id, project_name, sector, municipality_or_area, status, contractor_if_public, source_id, confidence, HITL flag, and limitations","medium","2026-06-02: seed file created from existing CDR/source_targets and NNA evidence. Use project metadata only; do not collect complainant identities from GRM logs."
"NDA-007","P1","mpwt_operations","knowledge_base/roads_public_works/contact_points.csv","Central MPWT general/admin complaint contacts are verified, but no source-backed regional operational routing table is encoded","Find MPWT regional offices/directorate routing and public complaint-section coverage beyond central contacts","Improves handoff quality after MPWT is selected without inventing regional office ownership","SRC-MPWT-CONTACT; SRC-MPWT-ADMIN-COMPLAINTS; CIS-019 MPWT Contacts List; MPWT contact lists","Rows include office/department, coverage area, channel, source_id, confidence, and not-current warning if stale","low","2026-06-02: kept open because local evidence does not verify a usable regional routing table. No unverified phone lists from directories."
"NDA-008","P0","waste_operations","knowledge_base/waste_environment/waste_operator_coverage.csv","Seeded 6 operator/context rows, but no full current contract map, union coverage, date ranges, or procurement-backed operator inventory yet","Map waste collection operators, union contracts, transfer stations, and local collection scopes with public contract/date evidence","Routine waste complaints often need municipality, union, or contractor-specific handoff without over-trusting one-off event evidence","SRC-AUB-WASTE-GUIDE; SRC-MOE-SWM-POLICY; SRC-TRIPOLI-MUNI-WASTE-CLEANING; SRC-LORIENT-SAIDA-WASTE-TREATMENT; official municipality/union posts; public contract notices","Rows include coverage_id, municipality_or_union, operator_or_actor, service_family, coverage_area, source_ids, confidence, HITL flag, date_range or limitation","medium","2026-06-02: seed file created from official municipal/NNA/news-followup evidence. Do not use private citizen allegations as operator truth; verify current contract status before direct operator handoff."
"NDA-009","P1","waste_sites","knowledge_base/waste_environment/waste_site_registry.csv","Seeded 7 public site/hotspot rows, but no complete disposal/landfill/dump/transfer/sorting facility registry, permit status, or geometry yet","Collect public landfill, dump, transfer station, sorting facility, open-burning, and river-dumping hotspot evidence with permit/status/operator details when public","Critical for dumping, fire, odor, leachate, public-health, and environmental harm routing","MOE indicators/pages; official reports; NNA official-news rows; reputable partner reports; public municipal notices","Rows include site_id, site_name, site_type, municipality/district, operator_if_public, environmental_risk, emergency_risk, source_ids, confidence, HITL flag, and location privacy note","medium","2026-06-02: seed file created from NNA/L'Orient/Tripoli official evidence. If exact coordinates identify private property, store generalized location unless official."
"NDA-010","P1","environmental_enforcement","knowledge_base/waste_environment/required_fields.csv; boundary_conditions.csv","Hazardous, industrial, quarry, and river pollution processes need deeper field-level evidence","Capture MOE required fields by complaint category and enforcement boundary with ISF/municipality","Improves high-risk environmental routing and avoids unsafe advice","SRC-MOE-COMPLAINTS; SRC-MOE-CONTACT; SRC-MOE-MANDATE; SRC-ISF-FAQ","Rows distinguish routine waste, hazardous waste, industrial discharge, quarry/crusher, fire, crime","high","Environmental complaints can include identity and legal risk; keep public examples redacted."
