resolution_id,municipality_id,municipality_key,municipality_name_en,municipality_name_ar,district,governorate,electricity_entity_id,electricity_entity_name,edl_regional_center,fault_hotline,complaint_online,resolution_basis,confidence,source_ids,verification_status,retrieved_date,notes
EER-63052,63052,حوبش,حوبش,حوبش,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54435,54435,ad_daghlah,Ad Daghlah,الدغلة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53868,53868,aidmoon_shekhlar,Aidmoon-Shekhlar,عيدمون-شيخلار,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54111,54111,ain_yaaqub,Ain Yaaqub,عين يعقوب,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54057,54057,ain_al_dhahab,Ain al-Dhahab,عين الذهب,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54084,54084,ain_al_zayt,Ain al-Zayt,عين الزيت,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53841,53841,akkar_el_atiqa,Akkar el-Atiqa,عكار العتيقة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54381,54381,akroum,Akroum,اكروم,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54471,54471,al_aamair_w_rajm_issa,Al Aamair w Rajm Issa,العماير ورجم عيسى,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53832,53832,al_aboudiyeh,Al Aboudiyeh,العبودية,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54039,54039,al_awainat,Al Awainat,العوينات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53580,53580,al_bireh,Al Bireh,البيره,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53517,53517,al_burj,Al Burj,البرج,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54507,54507,al_farid,Al Farid,الفرض,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53670,53670,al_hakour,Al Hakour,الحاكور,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54552,54552,al_hishah,Al Hishah,الهيشة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-63305,63305,al_hissa,Al Hissa,الحيصا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53679,53679,al_hmayra,Al Hmayra,الحميرة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54030,54030,al_kweikhat,Al Kweikhat,الكويخات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54444,54444,al_majdal,Al Majdal,المجدل,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53994,53994,al_maqybleh,Al Maqybleh,المقيبلة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53913,53913,al_qariyat,Al Qariyat,القريات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53904,53904,al_qobeiyat,Al Qobeiyat,القبيات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54480,54480,al_qurnah,Al Qurnah,القرنة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53634,53634,al_talil,Al Talil,التليل,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54318,54318,al_ayoun,Al-Ayoun,العيون,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54183,54183,al_dabbabiya,Al-Dabbabiya,الدبابية,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54165,54165,al_kwashra,Al-Kwashra,الكواشرة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54201,54201,al_mahmara,Al-Mahmara,المحمرة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54345,54345,al_maqeeta,Al-Maqeeta,المقيطع,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54363,54363,al_mounasseh,Al-Mounasseh,المونسة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54246,54246,al_qantara,Al-Qantara,القنطرة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54192,54192,al_qarqaf,Al-Qarqaf,القرقف,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54300,54300,al_rihaneya,Al-Rihaneya,الريحانية,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54624,54624,al_sheikh_ayyash,Al-Sheikh Ayyash,الشيخ عياش,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54408,54408,ammar_al_beykat,Ammar Al-Beykat,عمار البيكات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54012,54012,an_nafiseh,An Nafiseh,النفيسة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54021,54021,an_naheriyah_and_bestan_al_harsh,An Naheriyah and Bestan Al Harsh,النهرية وبستان الحرش,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53850,53850,andqet,Andqet,عندقت,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54390,54390,arqa,Arqa,عرقا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
