source_id,title,publisher,source_type,url,reliability_tier,primary_use,notes,scheme_note
SRC-ZAHLE-HOME,Municipality of Zahle website,Municipality of Zahle,official_municipality_site,https://zahle.gov.lb/,T0_official,Zahle official website contact and navigation evidence,Use for Zahle municipal contact channels and website/menu evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-ZAHLE-REPORT,Municipality of Zahle report an issue,Municipality of Zahle,official_complaint_form,https://zahle.gov.lb/report-an-issue/,T0_official,Zahle complaint workflow and required fields,Use for Zahle issue reporting workflow and department assignment evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-TRIPOLI-COMPLAINT,Tripoli Municipality complaint page,Municipality of Tripoli,official_complaint_form,https://tripoli.gov.lb/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B4%D9%83%D9%88%D9%89,T0_official,Tripoli official complaint workflow and tracking evidence,Use for public complaint and complaint tracking evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-TRIPOLI-OBJECTION,Tripoli Municipality objection page,Municipality of Tripoli,official_complaint_form,https://tripoli.gov.lb/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A9,T0_official,Tripoli objection workflow,Use for objection to municipal work transaction or employee conduct.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-TRIPOLI-HOTLINE-CRACKED-BUILDINGS,Tripoli municipal police cracked-building notice,Municipality of Tripoli,official_municipal_notice,https://tripoli.gov.lb/archives/1859,T0_official,Issue-specific hazard WhatsApp channel,Use only for cracked-building or structural hazard reports described by the notice.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BEDDAWI-CONTACT,Al-Beddawi Municipality contact page,Municipality of Al-Beddawi,official_municipality_site,https://el-beddawi.gov.lb/en/contact-us/,T0_official,Beddawi official contact phone email and address,Use for Beddawi contact channels only.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BEDDAWI-COMPLAINT,Al-Beddawi Municipality send complaints,Municipality of Al-Beddawi,official_complaint_form,https://el-beddawi.gov.lb/en/send-complaints/,T0_official,Beddawi official complaint workflow,Use for Beddawi complaint form fields and review/reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-NABAY-HOME,Nabay Municipality website,Municipality of Nabay,official_municipality_site,https://nabay.gov.lb/en/home/,T0_official,Nabay official website contact evidence,Use for Nabay phone email and official site evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-NABAY-COMPLAINT,Nabay Municipality send complaints,Municipality of Nabay,official_complaint_form,https://nabay.gov.lb/en/send-complaints/,T0_official,Nabay complaint workflow and fields,Use for Nabay complaint form fields and review or reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-NABAY-SUGGESTION,Nabay Municipality send suggestions,Municipality of Nabay,official_suggestion_form,https://nabay.gov.lb/en/send-suggestions/,T0_official,Nabay suggestion workflow and fields,Use for Nabay suggestion form fields and review or reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-RASEL-MATN-COMPLAINT,Ras El-Matn Municipality complaints page,Municipality of Ras El-Matn,official_complaint_form,https://raselmatn.gov.lb/Complaints,T0_official,Ras El-Matn official complaint and contact evidence,Use for form fields phone and email from the complaints/footer page.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-TARCHICH-SUGGESTION,Tarchich Municipality suggestion and complaint page,Municipality of Tarchich,official_complaint_form,https://www.tarchich.gov.lb/suggestion,T0_official,Tarchich complaint or suggestion workflow,Direct fetch needs manual browser review before production field assertions.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-MOUKHTARA-CONTACT,Moukhtara Municipality contact page,Municipality of Moukhtara,official_municipality_site,https://moukhtara.gov.lb/contact/,T0_official,Moukhtara official contact phone fax and email,Use for verified Moukhtara contact channels.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
