﻿variant_id,candidate_id,variant,normalized_variant,sector,issue_type,category,trust_status,review_priority,reason,recommended_replacements,action
BFL-CAND-0001-V05,BFL-CAND-0001,7afrit,7afrit,ROADS,POTHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0001-V06,BFL-CAND-0001,hufra,hufra,ROADS,POTHOLE,noun_infra,QUARANTINED_REWRITE_REQUIRED,P0_REWRITE_OR_REJECT,REJECT_NOISY_WRONG_MARKER: keep 7ofra/7afra as core and hofra only as fallback.,7ofra|7afra|hofra,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0002-V05,BFL-CAND-0002,joret,joret,ROADS,POTHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0002-V06,BFL-CAND-0002,jwara,jwara,ROADS,POTHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0003-V04,BFL-CAND-0003,7ufar,7ufar,ROADS,POTHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0009-V05,BFL-CAND-0009,rssif,rssif,ROADS,BROKEN_SIDEWALK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0009-V06,BFL-CAND-0009,rseef,rseef,ROADS,BROKEN_SIDEWALK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0010-V05,BFL-CAND-0010,burdure,burdure,ROADS,BROKEN_SIDEWALK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0011-V04,BFL-CAND-0011,balata,balata,ROADS,BROKEN_SIDEWALK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0011-V05,BFL-CAND-0011,blayt,blayt,ROADS,BROKEN_SIDEWALK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
