area_id,entity_id,branch_contact_id,branch_name,governorate,district_or_area,municipality_scope,phone,address,source_ids,confidence,notes
BMLWE-AREA-BEIRUT-NORTH,BMLWE,BMLWE-BEIRUT-NORTH,Beirut North Department,Beirut,Beirut,Beirut north,,Beirut - Ashrafieh - Nassif Rayes Street - near Spinneys,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-BEIRUT-SOUTH,BMLWE,BMLWE-BEIRUT-SOUTH,Beirut South Department,Beirut,Beirut,Beirut south,,Beirut - Tallet el Khayat - Tamer Mallat Street - near Lebanese Television,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-COAST-METN,BMLWE,BMLWE-COAST-METN,Coast of Metn Department,Mount Lebanon,Metn,coastal Metn,,Borj Hammoud - St. Joseph Street,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-METN,BMLWE,BMLWE-METN,Metn Department,Mount Lebanon,Metn,Metn,,Jdeideh - near Jdeideh Municipality,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-BAABDA,BMLWE,BMLWE-BAABDA,Baabda Department,Mount Lebanon,Baabda,Baabda,,Chiah - Old Saida Road - Lamaa Lamaa Street,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-ALEY,BMLWE,BMLWE-ALEY,Aley Department,Mount Lebanon,Aley,Aley,,Aley - Piscine Street - Ghatrif Building,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-JBEIL,BMLWE,BMLWE-JBEIL,Jbeil Department,Mount Lebanon,Jbeil,Jbeil,,Jbeil - Serail Jbeil,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
BMLWE-AREA-KESERWAN,BMLWE,BMLWE-KESERWAN,Keserwan Department,Mount Lebanon,Keserwan,Keserwan,,Keserwan - Serail Jounieh,SRC-BMLWE-CONTACT,medium_high,Scope inferred from official branch name. Use runtime municipality map for final municipality resolution.
NLWE-AREA-TRIPOLI,NLWE,NLWE-MAIN-OFFICE,Tripoli branch,North,Tripoli,Tripoli area,06-430075,Tripoli - Salahuddine Kabbara Street - Dam w Farz,SRC-NLWE-CONTACT,high,Tripoli branch is also the main office in the official contact list.
NLWE-AREA-KOBAYAT,NLWE,NLWE-KOBAYAT,Kobayat branch,Aakkar,Kobayat,Kobayat area,06-350341,Kobayat - Zouk Street - Mtanios Majid Al-Sayah Building,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-HALBA,NLWE,NLWE-HALBA,Halba branch,Aakkar,Halba,Aakkar and Halba area,06-690095,Halba - Main Road - Naeem Center,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-MENIEH,NLWE,NLWE-MENIEH,Menieh branch,North,Minieh-Danniyeh,Menieh area,06-460726,New Menieh-Dennieh Highway - Hafez Aref Alam El-Din Building,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-DINNIYEH,NLWE,NLWE-DINNIYEH,Dinniyeh branch,North,Minieh-Danniyeh,Dinniyeh area,06-491146,Sir - Main Road - Aladdin King Building,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-BATROUN,NLWE,NLWE-BATROUN,Batroun branch,North,Batroun,Batroun area,06-642020,Batroun - Old sea road - opposite Government Saray,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-KOURA,NLWE,NLWE-KOURA,Koura branch,North,Koura,Koura area,06-651012,Amyoun - Main Road - opposite Bank Audi - George Nassif Building,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-ZGHARTA,NLWE,NLWE-ZGHARTA,Zgharta branch,North,Zgharta,Zgharta and Ehden area,06-660347,Zgharta - Main Road - Al-Saray Building,SRC-NLWE-CONTACT,high,Official branch listing.
NLWE-AREA-BSHARRI,NLWE,NLWE-BSHARRI,Bsharri branch,North,Bsharri,Bsharri area,06-672260,Bsharri - Main Road - Mar Chaaya Street - Najib Jabour Building,SRC-NLWE-CONTACT,high,Official branch listing.
SLWE-AREA-SAIDA,SLWE,SLWE-SAIDA,Saida water department,South,Saida,Saida area,07-757000,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
