contact_id,entity_id,contact_name,contact_kind,governorate,district_or_area,municipality_or_scope,phone,email,url,address,working_hours,source_ids,confidence,notes
BMLWE-HOTLINE,BMLWE,EBML hotline,hotline,Beirut;Mount Lebanon,all,all,1713,,https://ebml.gov.lb/contactus.php?lang=en,,official_contact_page_hours_Mon-Thu_08:00-16:00_Fri_08:00-11:00,SRC-BMLWE-CONTACT,high,Hotline is shown in site header and contact page.
BMLWE-HEAD-OFFICE,BMLWE,EBML head office,head_office,Beirut,Beirut,central,+961-1-386760/+961-1-386761/+961-1-386762,info@ebml.gov.lb,https://ebml.gov.lb/contactus.php?lang=en,Beirut - Badaro - Sami Soloh Street - EBML Building,Mon-Thu_08:00-16:00;Fri_08:00-11:00,SRC-BMLWE-CONTACT,high,Use for central administration and general contact.
BMLWE-BEIRUT-NORTH,BMLWE,Beirut North Department,department,Beirut,Beirut,Beirut north,,,https://ebml.gov.lb/contactus.php?lang=en,Beirut - Ashrafieh - Nassif Rayes Street - near Spinneys,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-BEIRUT-SOUTH,BMLWE,Beirut South Department,department,Beirut,Beirut,Beirut south,,,https://ebml.gov.lb/contactus.php?lang=en,Beirut - Tallet el Khayat - Tamer Mallat Street - near Lebanese Television,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-COAST-METN,BMLWE,Coast of Metn Department,department,Mount Lebanon,Metn,coastal Metn,,,https://ebml.gov.lb/contactus.php?lang=en,Borj Hammoud - St. Joseph Street,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-METN,BMLWE,Metn Department,department,Mount Lebanon,Metn,Metn,,,https://ebml.gov.lb/contactus.php?lang=en,Jdeideh - near Jdeideh Municipality,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-BAABDA,BMLWE,Baabda Department,department,Mount Lebanon,Baabda,Baabda,,,https://ebml.gov.lb/contactus.php?lang=en,Chiah - Old Saida Road - Lamaa Lamaa Street,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-ALEY,BMLWE,Aley Department,department,Mount Lebanon,Aley,Aley,,,https://ebml.gov.lb/contactus.php?lang=en,Aley - Piscine Street - Ghatrif Building,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-JBEIL,BMLWE,Jbeil Department,department,Mount Lebanon,Jbeil,Jbeil,,,https://ebml.gov.lb/contactus.php?lang=en,Jbeil - Serail Jbeil,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
BMLWE-KESERWAN,BMLWE,Keserwan Department,department,Mount Lebanon,Keserwan,Keserwan,,,https://ebml.gov.lb/contactus.php?lang=en,Keserwan - Serail Jounieh,,SRC-BMLWE-CONTACT,high,Office address is official but direct phone is not published on static page.
NLWE-COMPLAINT-HOTLINE,NLWE,NLWE customer service complaints,hotline,North;Aakkar,all,all,1712,,https://eeln.gov.lb/en/customer-services/,,,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page says to call 1712 for private or general complaints.
NLWE-MAIN-OFFICE,NLWE,NLWE main office,head_office,North,Tripoli,central,+961-6-430075,comms@eeln.gov.lb,https://eeln.gov.lb/en/contact/,Tripoli - Salahuddine Kabbara Street - Dam w Farz,Mon-Thu_08:00-14:00,SRC-NLWE-CONTACT,high,Official contact page says messages are answered within 24 hours.
NLWE-KOBAYAT,NLWE,Kobayat branch,branch,Aakkar,Kobayat,Kobayat area,06-350341,,https://eeln.gov.lb/en/contact/,Kobayat - Zouk Street - Mtanios Majid Al-Sayah Building,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
NLWE-HALBA,NLWE,Halba branch,branch,Aakkar,Halba,Aakkar and Halba area,06-690095,,https://eeln.gov.lb/en/contact/,Halba - Main Road - Naeem Center,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
NLWE-MENIEH,NLWE,Menieh branch,branch,North,Minieh-Danniyeh,Menieh area,06-460726,,https://eeln.gov.lb/en/contact/,New Menieh-Dennieh Highway - Hafez Aref Alam El-Din Building,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
NLWE-DINNIYEH,NLWE,Dinniyeh branch,branch,North,Minieh-Danniyeh,Dinniyeh area,06-491146,,https://eeln.gov.lb/en/contact/,Sir - Main Road - Aladdin King Building,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
NLWE-BATROUN,NLWE,Batroun branch,branch,North,Batroun,Batroun area,06-642020,,https://eeln.gov.lb/en/contact/,Batroun - Old sea road - opposite Government Saray,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
