rule_id,complaint_type_id,complaint_type,condition,primary_entity_selector,secondary_entity_selector,hitl_required,hitl_reason,false_positive_risk,evidence_required_for_production,source_ids,confidence,status,last_verified,entity_id_canonical
RR-001,CT-WASTE-001,garbage_not_collected,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-002,CT-WASTE-002,illegal_dumping_public_land,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-003,CT-WASTE-003,overflowing_bins,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-004,CT-WASTE-004,landfill_or_dump_fire,Immediate fire/rescue/life-safety event or active emergency.,CIVIL_DEFENSE,ISF for security/order; MUN_DYNAMIC/EDL/MPWT/WE after emergency is stabilized.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-CIVILDEF-UNDP-2026,medium,seed_rule,2026-05-29,CD
RR-005,CT-WASTE-005,hazardous_or_medical_waste,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-006,CT-WASTE-006,street_sweeping_needed,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-007,CT-ROAD-001,local_road_pothole,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-008,CT-ROAD-002,classified_or_main_road_damage,Road/bridge/public-works asset is classified/national/main or source evidence points to MPWT.,MPWT,MUN_DYNAMIC if local road; CIVIL_DEFENSE/ISF if immediate danger.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,medium,seed_rule,2026-05-29,MPWT
RR-009,CT-ROAD-003,bridge_damage,Road/bridge/public-works asset is classified/national/main or source evidence points to MPWT.,MPWT,MUN_DYNAMIC if local road; CIVIL_DEFENSE/ISF if immediate danger.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,medium,seed_rule,2026-05-29,MPWT
RR-010,CT-ROAD-004,sidewalk_damage,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-011,CT-ROAD-005,road_blocked_by_debris,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-012,CT-ROAD-006,snow_or_storm_road_closure,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-013,CT-ROAD-007,unsafe_road_sign_or_missing_barrier,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-014,CT-DRAIN-001,blocked_storm_drain_local,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-015,CT-DRAIN-002,main_road_flooding,Road/bridge/public-works asset is classified/national/main or source evidence points to MPWT.,MPWT,MUN_DYNAMIC if local road; CIVIL_DEFENSE/ISF if immediate danger.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,medium,seed_rule,2026-05-29,MPWT
RR-016,CT-DRAIN-003,rainwater_not_discharging,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-017,CT-DRAIN-004,sewage_overflow_public,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_rule,2026-05-29,RWA_DYNAMIC
RR-018,CT-WATER-001,water_outage_area,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium_high,seed_rule,2026-05-29,RWA_DYNAMIC
RR-019,CT-WATER-002,dirty_water_from_tap,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium_high,seed_rule,2026-05-29,RWA_DYNAMIC
RR-020,CT-WATER-003,public_water_pipe_leak,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium_high,seed_rule,2026-05-29,RWA_DYNAMIC
