global_row,source_file,line_number,uuid,split,style_type,audit_status,flag_count,flags,current_label,current_sector,current_issue,metadata_label,suggested_label,suggested_sector,suggested_issue,top_sector,top_sector_score,top_issue,top_issue_score,needs_human_review,confidence,is_municipal_complaint,source_arabizi,assistant_json,evidence_terms,matched_terms,notes
94,cidarfix_v29_batch8_train_v14_enriched.jsonl,94,dcbe74e5-295b-3a08-7ba3-89a123327af6,train,hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,ya zalame baddna n3ref meen l mas2oul bas 3am es2al ya3ne ktir 3anjad,"{""confidence"": ""low"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
497,cidarfix_v29_batch8_train_v14_enriched.jsonl,497,5a448846-0d7c-de6c-958b-d07f09d384d6,train,hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,lek baddna n3ref meen l mas2oul lol?,"{""confidence"": ""low"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
698,cidarfix_v29_batch8_train_v14_enriched.jsonl,698,f6f5c3fe-db66-461a-a149-691b4af26f3b,train,real_world,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,barke btnt5bo 8yron la hal mas2oulin 7ajj bt7oto el 7a2 3layon w btrja3o e5er el nhar de2 el may heye may mtl el 8anammmm 3ala ente5abet w 3am bshmol kell el mas2oulin mnl mayltennn,"{""confidence"": ""low"", ""evidence_terms"": [""may""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""may""]",,
926,cidarfix_v29_batch8_train_v14_enriched.jsonl,926,73ce89c2-170b-4315-ab62-58e38c8a2ce0,train,real_world_hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,medium,False,shou natrin mas2oulin ta ysiro lesrasir w jradin wil aktar min 3elam,"{""confidence"": ""medium"", ""evidence_terms"": [""jradin""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""jradin""]",,
1030,cidarfix_v29_batch8_train_v14_enriched.jsonl,1030,f378cc06-e502-0dc9-ae95-30af3940fd22,train,hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,lek baddna n3ref meen l mas2oul 3al group w bas ya3ne,"{""confidence"": ""low"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
1169,cidarfix_v29_batch8_train_v14_enriched.jsonl,1169,ca2924d5-a3de-49f0-8d13-f8694277ddcf,train,real_world_hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,high,False,mbala fi za3im masi7i emtalak sha3bieh aktar min aoun wou ma hadan rah yousallou houwi el ra2is bachir gemayel,"{""confidence"": ""high"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
1213,cidarfix_v29_batch8_train_v14_enriched.jsonl,1213,6e9bfa50-a596-6b39-93d5-cccdef5b2c0c,train,hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,3an jad baddna n3ref meen l mas2oul abl l meeting bade et2akad ma ba2a fina,"{""confidence"": ""low"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
1404,cidarfix_v29_batch8_train_v14_enriched.jsonl,1404,c373a161-7099-4702-8081-f976611c3af2,train,real_world_hard_negative,BLOCK,2,PROFANITY_IN_COMPLAINT|POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,SAFETY,6,SAFETY/street_dog_attack_risk,6,False,medium,False,sha3eb ha2ir ana bel nesbe la ele el massihiye li bi 8 march akhtar men hezb el shaytan li2annon kleb w nawar w mejermin bi ha2 woujoudna,"{""confidence"": ""medium"", ""evidence_terms"": [""kleb""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kleb""]",kleb,"bad/offensive language present — treat as tone/noise, not routing evidence"
1527,cidarfix_v29_batch8_train_v14_enriched.jsonl,1527,dc4f22f2-99fb-031a-64c1-1d188a1cdb58,train,hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,,0,,0,False,low,False,halla2 baddna n3ref meen l mas2oul hala2 bade et2akad w 7ada yrd,"{""confidence"": ""low"", ""evidence_terms"": [], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}",[],,
1627,cidarfix_v29_batch8_train_v14_enriched.jsonl,1627,fa11e43e-1f03-422d-bfd8-7379ebe4b378,train,real_world_hard_negative,BLOCK,1,POLITICAL_STATEMENT,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,MUNICIPAL_SERVICES,6,MUNICIPAL_SERVICES/cemetery_or_public_local_service,6,False,low,False,walla la2ano masi7e b mout mawtit kaleb w mahadan byes2al 3lei balashna nekrah l siyese well din men wara eno lmasi7e sar zbele b hall balad,"{""confidence"": ""low"", ""evidence_terms"": [""zbele""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""zbele""]",hall,
